Metric,Whole_Apriori,Whole_Word2Vec,First_Third_Apriori,First_Third_Word2Vec,Last_Two_Thirds_Apriori,Last_Two_Thirds_Word2Vec
Execution Time (s),131.89006423950195,44.973217248916626,33.84089207649231,16.22607660293579,84.36167502403259,34.521528244018555
Memory Usage (MB),18332.123309135437,81.57120895385742,6476.836010932922,45.40229511260986,13467.01921081543,61.71066188812256
Number of Complementary Pairs,5124.0,235020.0,7324.0,129966.0,15525.0,177432.0
Coverage,0.06186081317036667,0.7109004739336493,0.08574062692071296,0.5706822372464659,0.07413554633471646,0.6674965421853388
