Metric,Apriori,Word2Vec
Execution Time (s),68.78194427490234,7.137617826461792
Memory Usage (MB),12746.004929542542,15.050516128540039
Number of Rules/Recommendations,6540.0,34830.0
Coverage,0.07009095773140717,0.9317817014446228
